provider,object_type,current_schema,current_relation,current_object,current_columns,new_schema,new_relation,new_object,new_columns,change_type,notes
postgres,primary_key,public,AirQMonitorStatus,PK__AirQMoni__5E5B3EE492A9E513,SerialId,public,air_q_monitor_status,pk_air_q_monitor_status,id,rename_object,
postgres,index,public,AirQNoise8HourAverage,AirQNoise8HourAverage_SampleTime_idx,SampleTime,public,air_q_noise_8_hour_average,ix_air_q_noise_8_hour_average_sample_time,sample_time,rename_object,
postgres,index,public,AirQNoiseLevels,AirQNoiseLevels_SampleTime_idx,SampleTime,public,air_q_noise_level,ix_air_q_noise_level_sample_time,sample_time,rename_object,
postgres,foreign_key,public,AspNetRoleClaims,FK_AspNetRoleClaims_AspNetRoles_RoleId,RoleId,public,AspNetRoleClaims,FK_AspNetRoleClaims_AspNetRoles_RoleId,RoleId,no_change,identity_excluded
postgres,primary_key,public,AspNetRoleClaims,PK_AspNetRoleClaims,Id,public,AspNetRoleClaims,PK_AspNetRoleClaims,Id,no_change,identity_excluded
postgres,primary_key,public,AspNetRoles,PK_AspNetRoles,Id,public,AspNetRoles,PK_AspNetRoles,Id,no_change,identity_excluded
postgres,foreign_key,public,AspNetUserClaims,FK_AspNetUserClaims_AspNetUsers_UserId,UserId,public,AspNetUserClaims,FK_AspNetUserClaims_AspNetUsers_UserId,UserId,no_change,identity_excluded
postgres,primary_key,public,AspNetUserClaims,PK_AspNetUserClaims,Id,public,AspNetUserClaims,PK_AspNetUserClaims,Id,no_change,identity_excluded
postgres,foreign_key,public,AspNetUserLogins,FK_AspNetUserLogins_AspNetUsers_UserId,UserId,public,AspNetUserLogins,FK_AspNetUserLogins_AspNetUsers_UserId,UserId,no_change,identity_excluded
postgres,primary_key,public,AspNetUserLogins,PK_AspNetUserLogins,LoginProvider|ProviderKey,public,AspNetUserLogins,PK_AspNetUserLogins,LoginProvider|ProviderKey,no_change,identity_excluded
postgres,foreign_key,public,AspNetUserRoles,FK_AspNetUserRoles_AspNetRoles_RoleId,RoleId,public,AspNetUserRoles,FK_AspNetUserRoles_AspNetRoles_RoleId,RoleId,no_change,identity_excluded
postgres,foreign_key,public,AspNetUserRoles,FK_AspNetUserRoles_AspNetUsers_UserId,UserId,public,AspNetUserRoles,FK_AspNetUserRoles_AspNetUsers_UserId,UserId,no_change,identity_excluded
postgres,primary_key,public,AspNetUserRoles,PK_AspNetUserRoles,UserId|RoleId,public,AspNetUserRoles,PK_AspNetUserRoles,UserId|RoleId,no_change,identity_excluded
postgres,foreign_key,public,AspNetUserTokens,FK_AspNetUserTokens_AspNetUsers_UserId,UserId,public,AspNetUserTokens,FK_AspNetUserTokens_AspNetUsers_UserId,UserId,no_change,identity_excluded
postgres,primary_key,public,AspNetUserTokens,PK_AspNetUserTokens,UserId|LoginProvider|Name,public,AspNetUserTokens,PK_AspNetUserTokens,UserId|LoginProvider|Name,no_change,identity_excluded
postgres,primary_key,public,AspNetUsers,PK_AspNetUsers,Id,public,AspNetUsers,PK_AspNetUsers,Id,no_change,identity_excluded
postgres,primary_key,public,Companies,PK_Companies,Id,public,company,pk_company,id,rename_object,
postgres,foreign_key,public,Contracts,FK_Contracts_Companies_CompanyId,CompanyId,public,contract,fk_contract_company_id,company_id,rename_object,
postgres,foreign_key,public,Contracts,FK_Contracts_Sites_SiteiD,SiteiD,public,contract,fk_contract_site_id,site_id,rename_object,
postgres,primary_key,public,Contracts,PK_Contracts,Id,public,contract,pk_contract,id,rename_object,
postgres,foreign_key,public,Deployments,FK_Deployments_Contracts_ContractId,ContractId,public,deployment,fk_deployment_contract_id,contract_id,rename_object,
postgres,foreign_key,public,Deployments,FK_Deployments_MonitorsList_MonitorId,MonitorId,public,deployment,fk_deployment_monitor_id,monitor_id,rename_object,
postgres,primary_key,public,Deployments,PK2_Deployments,Id,public,deployment,pk_deployment,id,rename_object,
postgres,index,public,ErrorLog,ErrorLog_Timestamtp_idx,Timestamtp,public,error_log,ix_error_log_logged_at,logged_at,rename_object,
postgres,primary_key,public,ErrorLog,pk_errorlog,Id|Timestamtp,public,error_log,pk_error_log,id|logged_at,rename_object,
postgres,foreign_key,public,HelpArticles,FK_HelpArticles_HelpSections_SectionId,SectionId,public,help_article,fk_help_article_help_section_id,help_section_id,rename_object,
postgres,index,public,HelpArticles,IX_HelpArticles_SectionId,SectionId,public,help_article,ix_help_article_help_section_id,help_section_id,rename_object,
postgres,index,public,HelpArticles,IX_HelpArticles_Slug,Slug,public,help_article,ix_help_article_slug,slug,rename_object,
postgres,primary_key,public,HelpArticles,PK_HelpArticles,Id,public,help_article,pk_help_article,id,rename_object,
postgres,foreign_key,public,HelpAssets,FK_HelpAssets_HelpArticles_HelpArticleId,HelpArticleId,public,help_asset,fk_help_asset_help_article_id,help_article_id,rename_object,
postgres,index,public,HelpAssets,IX_HelpAssets_HelpArticleId,HelpArticleId,public,help_asset,ix_help_asset_help_article_id,help_article_id,rename_object,
postgres,primary_key,public,HelpAssets,PK_HelpAssets,Id,public,help_asset,pk_help_asset,id,rename_object,
postgres,index,public,HelpSections,IX_HelpSections_Slug,Slug,public,help_section,ix_help_section_slug,slug,rename_object,
postgres,primary_key,public,HelpSections,PK_HelpSections,Id,public,help_section,pk_help_section,id,rename_object,
postgres,primary_key,public,MonitorsList,PK_MonitorsList,Id,public,monitor,pk_monitor,id,rename_object,
postgres,index,public,MyAtmDustLevels,MyAtmDustLevels_SampleTime_idx,SampleTime,public,my_atm_dust_level,ix_my_atm_dust_level_sample_time,sample_time,rename_object,
postgres,foreign_key,public,NotificationSettings,FK_NotificationSettings_SiteUsers,SiteUserId,public,notification_setting,fk_notification_setting_site_user_id,site_user_id,rename_object,
postgres,primary_key,public,NotificationSettings,PK_NotificationSettings,Id,public,notification_setting,pk_notification_setting,id,rename_object,
postgres,primary_key,public,Notifications,PK_Notifications,Id,public,notification,pk_notification,id,rename_object,
postgres,index,public,NotificationsSent,NotificationsSent_SendTime_idx,SendTime,public,notification_sent,ix_notification_sent_send_time,send_time,rename_object,
postgres,primary_key,public,NotificationsSent,pk_notificationssent,Id|SendTime,public,notification_sent,pk_notification_sent,id|send_time,rename_object,
postgres,primary_key,public,OmnidotsMonitorStatus,PK__Omnidots__3214EC0736C6B626,Id,public,omnidots_monitor_status,pk_omnidots_monitor_status,id,rename_object,
postgres,index,public,OmnidotsPeakLevels,IX_OmnidotsPeakLevels_SerialId_SampleTimeDesc,SerialId|SampleTime,public,omnidots_peak_level,ix_omnidots_peak_level_serial_id_sample_time,serial_id|sample_time,rename_object,
postgres,index,public,OmnidotsPeakLevels,OmnidotsPeakLevels_SampleTime_idx,SampleTime,public,omnidots_peak_level,ix_omnidots_peak_level_sample_time,sample_time,rename_object,
postgres,index,public,OmnidotsPeakLevels,_dta_index_OmnidotsPeakLevels_25_1957582012__K2_K1_3_4_5_6_7_8_,SampleTime|SerialId,public,omnidots_peak_level,ix_omnidots_peak_level_sample_time_serial_id,sample_time|serial_id,rename_object,
postgres,primary_key,public,OmnidotsSensors,PK__Omnidots__3214EC0704E3BD04,Id,public,omnidots_sensor,pk_omnidots_sensor,id,rename_object,
postgres,foreign_key,public,OmnidotsTraces,FK__OmnidotsT__Trace__2DE6D218,TraceId,public,omnidots_trace,fk_omnidots_trace_omnidots_trace_index_id,omnidots_trace_index_id,rename_object,
postgres,primary_key,public,OmnidotsTracesIndex,PK__Omnidots__3214EC071EF1F55E,Id,public,omnidots_trace_index,pk_omnidots_trace_index,id,rename_object,
postgres,primary_key,public,ReportRules,PK_ReportConfig,Id,public,report_rule,pk_report_rule,id,rename_object,
postgres,primary_key,public,ReportUsers,PK_ReportUsers,Id,public,report_user,pk_report_user,id,rename_object,
postgres,primary_key,public,Reports,PK_Reports,Id,public,report,pk_report,id,rename_object,
postgres,primary_key,public,ReportsSent,PK_ReportsSent,Id,public,report_sent,pk_report_sent,id,rename_object,
postgres,foreign_key,public,RvtAlertRules,FK_RvtAlertRules_MonitorsList_MonitorId,MonitorId,public,rvt_alert_rule,fk_rvt_alert_rule_monitor_id,monitor_id,rename_object,
postgres,primary_key,public,RvtAlertRules,PK_RvtAlertRules,Id,public,rvt_alert_rule,pk_rvt_alert_rule,id,rename_object,
postgres,foreign_key,public,SiteArchived,FK_SiteArchived_Sites_SiteId,SiteId,public,site_archived,fk_site_archived_site_id,site_id,rename_object,
postgres,primary_key,public,SiteArchived,PK_SiteArchived,Id,public,site_archived,pk_site_archived,id,rename_object,
postgres,index,public,SiteAverages,SiteAverages_CollectionTime_idx,CollectionTime,public,site_average,ix_site_average_collection_time,collection_time,rename_object,
postgres,primary_key,public,SiteAverages,pk_siteaverages,Id|CollectionTime,public,site_average,pk_site_average,id|collection_time,rename_object,
postgres,foreign_key,public,SiteOperatingHours,FK_SiteOperatingHours_Sites_SiteId,SiteId,public,site_operating_hour,fk_site_operating_hour_site_id,site_id,rename_object,
postgres,index,public,SiteOperatingHours,IX_SiteOperatingHours_SiteId_DayOfWeek,SiteId|DayOfWeek,public,site_operating_hour,ix_site_operating_hour_site_id_day_of_week,site_id|day_of_week,rename_object,
postgres,primary_key,public,SiteOperatingHours,PK_SiteOperatingHours,Id,public,site_operating_hour,pk_site_operating_hour,id,rename_object,
postgres,foreign_key,public,SiteUsers,FK_SiteUsers_Sites_SiteId,SiteId,public,site_user,fk_site_user_site_id,site_id,rename_object,
postgres,primary_key,public,SiteUsers,PK_SiteUsers,Id,public,site_user,pk_site_user,id,rename_object,
postgres,primary_key,public,Sites,PK_Sites,Id,public,site,pk_site,id,rename_object,
postgres,index,public,SvantekNoise8HourAverage,SvantekNoise8HourAverage_SampleTime_idx,SampleTime,public,svantek_noise_8_hour_average,ix_svantek_noise_8_hour_average_sample_time,sample_time,rename_object,
postgres,index,public,SvantekNoiseLevels,SvantekNoiseLevels_SampleTime_idx,SampleTime,public,svantek_noise_level,ix_svantek_noise_level_sample_time,sample_time,rename_object,
postgres,index,public,UserActionsHistory,UserActionsHistory_Timestamp_idx,Timestamp,public,user_action_history,ix_user_action_history_recorded_at,recorded_at,rename_object,
postgres,primary_key,public,UserActionsHistory,pk_useractionshistory,ID|Timestamp,public,user_action_history,pk_user_action_history,id|recorded_at,rename_object,
