current_relation,current_column,new_relation,new_column,change_type,notes
AdminDashboardData,,admin_dashboard_data,,rename_relation,relation_not_lowercase
AdminDashboardData,MonitorState,admin_dashboard_data,monitor_state,rename_column,column_not_lowercase
AdminDashboardData,nr,admin_dashboard_data,row_count,rename_column,
AirQErrorMessages,,air_q_error_message,,rename_relation,relation_not_lowercase
AirQErrorMessages,Error,air_q_error_message,error,rename_column,column_not_lowercase
AirQErrorMessages,ErrorTime,air_q_error_message,error_time,rename_column,column_not_lowercase
AirQErrorMessages,Tag,air_q_error_message,tag,rename_column,column_not_lowercase
AirQMonitorStatus,,air_q_monitor_status,,rename_relation,relation_not_lowercase
AirQMonitorStatus,BatteryVoltage,air_q_monitor_status,battery_voltage,rename_column,column_not_lowercase
AirQMonitorStatus,CalibrationDate,air_q_monitor_status,calibration_date,rename_column,column_not_lowercase
AirQMonitorStatus,ErrorCount,air_q_monitor_status,error_count,rename_column,column_not_lowercase
AirQMonitorStatus,FilterChangeDate,air_q_monitor_status,filter_change_date,rename_column,column_not_lowercase
AirQMonitorStatus,PumpHours,air_q_monitor_status,pump_hours,rename_column,column_not_lowercase
AirQMonitorStatus,SerialId,air_q_monitor_status,id,rename_column,column_not_lowercase;single_column_pk
AirQMonitorStatus,Status,air_q_monitor_status,status,rename_column,column_not_lowercase
AirQMonitorStatus,UpdateTime,air_q_monitor_status,update_time,rename_column,column_not_lowercase
AirQNoise8HourAverage,,air_q_noise_8_hour_average,,rename_relation,relation_not_lowercase
AirQNoise8HourAverage,LA10,air_q_noise_8_hour_average,la_10,rename_column,column_not_lowercase
AirQNoise8HourAverage,LA90,air_q_noise_8_hour_average,la_90,rename_column,column_not_lowercase
AirQNoise8HourAverage,LAeq,air_q_noise_8_hour_average,laeq,rename_column,column_not_lowercase
AirQNoise8HourAverage,LAmax,air_q_noise_8_hour_average,lamax,rename_column,column_not_lowercase
AirQNoise8HourAverage,LC10,air_q_noise_8_hour_average,lc_10,rename_column,column_not_lowercase
AirQNoise8HourAverage,LC90,air_q_noise_8_hour_average,lc_90,rename_column,column_not_lowercase
AirQNoise8HourAverage,LCeq,air_q_noise_8_hour_average,lceq,rename_column,column_not_lowercase
AirQNoise8HourAverage,LCmax,air_q_noise_8_hour_average,lcmax,rename_column,column_not_lowercase
AirQNoise8HourAverage,NumberOfSamples,air_q_noise_8_hour_average,number_of_samples,rename_column,column_not_lowercase
AirQNoise8HourAverage,SampleTime,air_q_noise_8_hour_average,sample_time,rename_column,column_not_lowercase
AirQNoise8HourAverage,SerialId,air_q_noise_8_hour_average,serial_id,rename_column,column_not_lowercase
AirQNoiseLevels,,air_q_noise_level,,rename_relation,relation_not_lowercase
AirQNoiseLevels,LA10,air_q_noise_level,la_10,rename_column,column_not_lowercase
AirQNoiseLevels,LA90,air_q_noise_level,la_90,rename_column,column_not_lowercase
AirQNoiseLevels,LAeq,air_q_noise_level,laeq,rename_column,column_not_lowercase
AirQNoiseLevels,LAmax,air_q_noise_level,lamax,rename_column,column_not_lowercase
AirQNoiseLevels,LC10,air_q_noise_level,lc_10,rename_column,column_not_lowercase
AirQNoiseLevels,LC90,air_q_noise_level,lc_90,rename_column,column_not_lowercase
AirQNoiseLevels,LCeq,air_q_noise_level,lceq,rename_column,column_not_lowercase
AirQNoiseLevels,LCmax,air_q_noise_level,lcmax,rename_column,column_not_lowercase
AirQNoiseLevels,SampleTime,air_q_noise_level,sample_time,rename_column,column_not_lowercase
AirQNoiseLevels,SerialId,air_q_noise_level,serial_id,rename_column,column_not_lowercase
AspNetRoleClaims,,AspNetRoleClaims,,no_change,relation_not_lowercase;identity_excluded
AspNetRoleClaims,ClaimType,AspNetRoleClaims,ClaimType,no_change,column_not_lowercase;identity_excluded
AspNetRoleClaims,ClaimValue,AspNetRoleClaims,ClaimValue,no_change,column_not_lowercase;identity_excluded
AspNetRoleClaims,Id,AspNetRoleClaims,Id,no_change,column_not_lowercase;single_column_pk;identity_excluded
AspNetRoleClaims,RoleId,AspNetRoleClaims,RoleId,no_change,column_not_lowercase;fk_to_asp_net_role;identity_excluded
AspNetRoles,,AspNetRoles,,no_change,relation_not_lowercase;identity_excluded
AspNetRoles,ConcurrencyStamp,AspNetRoles,ConcurrencyStamp,no_change,column_not_lowercase;identity_excluded
AspNetRoles,Id,AspNetRoles,Id,no_change,column_not_lowercase;single_column_pk;identity_excluded
AspNetRoles,Name,AspNetRoles,Name,no_change,column_not_lowercase;identity_excluded
AspNetRoles,NormalizedName,AspNetRoles,NormalizedName,no_change,column_not_lowercase;identity_excluded
AspNetUserClaims,,AspNetUserClaims,,no_change,relation_not_lowercase;identity_excluded
AspNetUserClaims,ClaimType,AspNetUserClaims,ClaimType,no_change,column_not_lowercase;identity_excluded
AspNetUserClaims,ClaimValue,AspNetUserClaims,ClaimValue,no_change,column_not_lowercase;identity_excluded
AspNetUserClaims,Id,AspNetUserClaims,Id,no_change,column_not_lowercase;single_column_pk;identity_excluded
AspNetUserClaims,UserId,AspNetUserClaims,UserId,no_change,column_not_lowercase;fk_to_asp_net_user;identity_excluded
AspNetUserLogins,,AspNetUserLogins,,no_change,relation_not_lowercase;identity_excluded
AspNetUserLogins,LoginProvider,AspNetUserLogins,LoginProvider,no_change,column_not_lowercase;identity_excluded
AspNetUserLogins,ProviderDisplayName,AspNetUserLogins,ProviderDisplayName,no_change,column_not_lowercase;identity_excluded
AspNetUserLogins,ProviderKey,AspNetUserLogins,ProviderKey,no_change,column_not_lowercase;identity_excluded
AspNetUserLogins,UserId,AspNetUserLogins,UserId,no_change,column_not_lowercase;fk_to_asp_net_user;identity_excluded
AspNetUserRoles,,AspNetUserRoles,,no_change,relation_not_lowercase;identity_excluded
AspNetUserRoles,RoleId,AspNetUserRoles,RoleId,no_change,column_not_lowercase;fk_to_asp_net_role;identity_excluded
AspNetUserRoles,UserId,AspNetUserRoles,UserId,no_change,column_not_lowercase;fk_to_asp_net_user;identity_excluded
AspNetUserTokens,,AspNetUserTokens,,no_change,relation_not_lowercase;identity_excluded
AspNetUserTokens,LoginProvider,AspNetUserTokens,LoginProvider,no_change,column_not_lowercase;identity_excluded
