provider,object_type,current_schema,current_relation,current_object,current_columns,referenced_relation,referenced_columns
postgres,primary_key,public,AirQMonitorStatus,PK__AirQMoni__5E5B3EE492A9E513,SerialId,"",""
postgres,index,public,AirQNoise8HourAverage,AirQNoise8HourAverage_SampleTime_idx,SampleTime,"",""
postgres,index,public,AirQNoiseLevels,AirQNoiseLevels_SampleTime_idx,SampleTime,"",""
postgres,foreign_key,public,AspNetRoleClaims,FK_AspNetRoleClaims_AspNetRoles_RoleId,RoleId,AspNetRoles,Id
postgres,primary_key,public,AspNetRoleClaims,PK_AspNetRoleClaims,Id,"",""
postgres,primary_key,public,AspNetRoles,PK_AspNetRoles,Id,"",""
postgres,foreign_key,public,AspNetUserClaims,FK_AspNetUserClaims_AspNetUsers_UserId,UserId,AspNetUsers,Id
postgres,primary_key,public,AspNetUserClaims,PK_AspNetUserClaims,Id,"",""
postgres,foreign_key,public,AspNetUserLogins,FK_AspNetUserLogins_AspNetUsers_UserId,UserId,AspNetUsers,Id
postgres,primary_key,public,AspNetUserLogins,PK_AspNetUserLogins,LoginProvider|ProviderKey,"",""
postgres,foreign_key,public,AspNetUserRoles,FK_AspNetUserRoles_AspNetRoles_RoleId,RoleId,AspNetRoles,Id
postgres,foreign_key,public,AspNetUserRoles,FK_AspNetUserRoles_AspNetUsers_UserId,UserId,AspNetUsers,Id
postgres,primary_key,public,AspNetUserRoles,PK_AspNetUserRoles,UserId|RoleId,"",""
postgres,foreign_key,public,AspNetUserTokens,FK_AspNetUserTokens_AspNetUsers_UserId,UserId,AspNetUsers,Id
postgres,primary_key,public,AspNetUserTokens,PK_AspNetUserTokens,UserId|LoginProvider|Name,"",""
postgres,primary_key,public,AspNetUsers,PK_AspNetUsers,Id,"",""
postgres,primary_key,public,Companies,PK_Companies,Id,"",""
postgres,foreign_key,public,Contracts,FK_Contracts_Companies_CompanyId,CompanyId,Companies,Id
postgres,foreign_key,public,Contracts,FK_Contracts_Sites_SiteiD,SiteiD,Sites,Id
postgres,primary_key,public,Contracts,PK_Contracts,Id,"",""
postgres,foreign_key,public,Deployments,FK_Deployments_Contracts_ContractId,ContractId,Contracts,Id
postgres,foreign_key,public,Deployments,FK_Deployments_MonitorsList_MonitorId,MonitorId,MonitorsList,Id
postgres,primary_key,public,Deployments,PK2_Deployments,Id,"",""
postgres,index,public,ErrorLog,ErrorLog_Timestamtp_idx,Timestamtp,"",""
postgres,primary_key,public,ErrorLog,pk_errorlog,Id|Timestamtp,"",""
postgres,foreign_key,public,HelpArticles,FK_HelpArticles_HelpSections_SectionId,SectionId,HelpSections,Id
postgres,index,public,HelpArticles,IX_HelpArticles_SectionId,SectionId,"",""
postgres,index,public,HelpArticles,IX_HelpArticles_Slug,Slug,"",""
postgres,primary_key,public,HelpArticles,PK_HelpArticles,Id,"",""
postgres,foreign_key,public,HelpAssets,FK_HelpAssets_HelpArticles_HelpArticleId,HelpArticleId,HelpArticles,Id
postgres,index,public,HelpAssets,IX_HelpAssets_HelpArticleId,HelpArticleId,"",""
postgres,primary_key,public,HelpAssets,PK_HelpAssets,Id,"",""
postgres,index,public,HelpSections,IX_HelpSections_Slug,Slug,"",""
postgres,primary_key,public,HelpSections,PK_HelpSections,Id,"",""
postgres,primary_key,public,MonitorsList,PK_MonitorsList,Id,"",""
postgres,index,public,MyAtmDustLevels,MyAtmDustLevels_SampleTime_idx,SampleTime,"",""
postgres,foreign_key,public,NotificationSettings,FK_NotificationSettings_SiteUsers,SiteUserId,SiteUsers,Id
postgres,primary_key,public,NotificationSettings,PK_NotificationSettings,Id,"",""
