"provider","object_type","current_schema","current_relation","current_column","current_data_type","new_schema","new_relation","new_column","new_data_type","change_type","notes"
"sqlserver","view","dbo","AdminDashboardData","","","dbo","admin_dashboard_data","","","rename_relation","relation_not_lowercase"
"sqlserver","view_column","dbo","AdminDashboardData","MonitorState","varchar","dbo","admin_dashboard_data","monitor_state","varchar","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","AdminDashboardData","nr","int","dbo","admin_dashboard_data","row_count","int","rename_column","relation_not_lowercase"
"sqlserver","table","dbo","AirQErrorMessages","","","dbo","air_q_error_message","","","rename_relation","relation_not_lowercase"
"sqlserver","table_column","dbo","AirQErrorMessages","Error","nvarchar","dbo","air_q_error_message","error","nvarchar","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","AirQErrorMessages","ErrorTime","datetime2","dbo","air_q_error_message","error_time","datetime2","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","AirQErrorMessages","Tag","nvarchar","dbo","air_q_error_message","tag","nvarchar","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table","dbo","AirQMonitorStatus","","","dbo","air_q_monitor_status","","","rename_relation","relation_not_lowercase"
"sqlserver","table_column","dbo","AirQMonitorStatus","BatteryVoltage","nvarchar","dbo","air_q_monitor_status","battery_voltage","nvarchar","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","AirQMonitorStatus","CalibrationDate","datetime2","dbo","air_q_monitor_status","calibration_date","datetime2","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","AirQMonitorStatus","ErrorCount","int","dbo","air_q_monitor_status","error_count","int","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","AirQMonitorStatus","FilterChangeDate","datetime2","dbo","air_q_monitor_status","filter_change_date","datetime2","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","AirQMonitorStatus","PumpHours","nvarchar","dbo","air_q_monitor_status","pump_hours","nvarchar","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","AirQMonitorStatus","SerialId","nvarchar","dbo","air_q_monitor_status","id","nvarchar","rename_column","relation_not_lowercase;column_not_lowercase;single_column_pk"
"sqlserver","table_column","dbo","AirQMonitorStatus","Status","nvarchar","dbo","air_q_monitor_status","status","nvarchar","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","AirQMonitorStatus","UpdateTime","datetime2","dbo","air_q_monitor_status","update_time","datetime2","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table","dbo","AirQNoise8HourAverage","","","dbo","air_q_noise_8_hour_average","","","rename_relation","relation_not_lowercase"
"sqlserver","table_column","dbo","AirQNoise8HourAverage","LA10","float","dbo","air_q_noise_8_hour_average","la_10","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","AirQNoise8HourAverage","LA90","float","dbo","air_q_noise_8_hour_average","la_90","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","AirQNoise8HourAverage","LAeq","float","dbo","air_q_noise_8_hour_average","laeq","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","AirQNoise8HourAverage","LAmax","float","dbo","air_q_noise_8_hour_average","lamax","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","AirQNoise8HourAverage","LC10","float","dbo","air_q_noise_8_hour_average","lc_10","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","AirQNoise8HourAverage","LC90","float","dbo","air_q_noise_8_hour_average","lc_90","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","AirQNoise8HourAverage","LCeq","float","dbo","air_q_noise_8_hour_average","lceq","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","AirQNoise8HourAverage","LCmax","float","dbo","air_q_noise_8_hour_average","lcmax","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","AirQNoise8HourAverage","NumberOfSamples","int","dbo","air_q_noise_8_hour_average","number_of_samples","int","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","AirQNoise8HourAverage","SampleTime","datetime2","dbo","air_q_noise_8_hour_average","sample_time","datetime2","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","AirQNoise8HourAverage","SerialId","nvarchar","dbo","air_q_noise_8_hour_average","serial_id","nvarchar","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view","dbo","AirQNoiseLevel1dayAvg","","","dbo","air_q_noise_level_1_day_avg","","","rename_relation","relation_not_lowercase"
"sqlserver","view_column","dbo","AirQNoiseLevel1dayAvg","LA10","float","dbo","air_q_noise_level_1_day_avg","la_10","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","AirQNoiseLevel1dayAvg","LA90","float","dbo","air_q_noise_level_1_day_avg","la_90","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","AirQNoiseLevel1dayAvg","LAeq","float","dbo","air_q_noise_level_1_day_avg","laeq","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","AirQNoiseLevel1dayAvg","LAmax","float","dbo","air_q_noise_level_1_day_avg","lamax","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","AirQNoiseLevel1dayAvg","LC10","float","dbo","air_q_noise_level_1_day_avg","lc_10","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","AirQNoiseLevel1dayAvg","LC90","float","dbo","air_q_noise_level_1_day_avg","lc_90","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","AirQNoiseLevel1dayAvg","LCeq","float","dbo","air_q_noise_level_1_day_avg","lceq","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","AirQNoiseLevel1dayAvg","LCmax","float","dbo","air_q_noise_level_1_day_avg","lcmax","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","AirQNoiseLevel1dayAvg","SampleTime","date","dbo","air_q_noise_level_1_day_avg","sample_time","date","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","AirQNoiseLevel1dayAvg","SerialId","nvarchar","dbo","air_q_noise_level_1_day_avg","serial_id","nvarchar","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view","dbo","AirQNoiseLevel1hourAvg","","","dbo","air_q_noise_level_1_hour_avg","","","rename_relation","relation_not_lowercase"
"sqlserver","view_column","dbo","AirQNoiseLevel1hourAvg","LA10","float","dbo","air_q_noise_level_1_hour_avg","la_10","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","AirQNoiseLevel1hourAvg","LA90","float","dbo","air_q_noise_level_1_hour_avg","la_90","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","AirQNoiseLevel1hourAvg","LAeq","float","dbo","air_q_noise_level_1_hour_avg","laeq","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","AirQNoiseLevel1hourAvg","LAmax","float","dbo","air_q_noise_level_1_hour_avg","lamax","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","AirQNoiseLevel1hourAvg","LC10","float","dbo","air_q_noise_level_1_hour_avg","lc_10","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","AirQNoiseLevel1hourAvg","LC90","float","dbo","air_q_noise_level_1_hour_avg","lc_90","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","AirQNoiseLevel1hourAvg","LCeq","float","dbo","air_q_noise_level_1_hour_avg","lceq","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","AirQNoiseLevel1hourAvg","LCmax","float","dbo","air_q_noise_level_1_hour_avg","lcmax","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","AirQNoiseLevel1hourAvg","SampleTime","datetime","dbo","air_q_noise_level_1_hour_avg","sample_time","datetime","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","AirQNoiseLevel1hourAvg","SerialId","nvarchar","dbo","air_q_noise_level_1_hour_avg","serial_id","nvarchar","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table","dbo","AirQNoiseLevels","","","dbo","air_q_noise_level","","","rename_relation","relation_not_lowercase"
"sqlserver","table_column","dbo","AirQNoiseLevels","LA10","float","dbo","air_q_noise_level","la_10","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","AirQNoiseLevels","LA90","float","dbo","air_q_noise_level","la_90","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","AirQNoiseLevels","LAeq","float","dbo","air_q_noise_level","laeq","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","AirQNoiseLevels","LAmax","float","dbo","air_q_noise_level","lamax","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","AirQNoiseLevels","LC10","float","dbo","air_q_noise_level","lc_10","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","AirQNoiseLevels","LC90","float","dbo","air_q_noise_level","lc_90","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","AirQNoiseLevels","LCeq","float","dbo","air_q_noise_level","lceq","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","AirQNoiseLevels","LCmax","float","dbo","air_q_noise_level","lcmax","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","AirQNoiseLevels","SampleTime","datetime2","dbo","air_q_noise_level","sample_time","datetime2","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","AirQNoiseLevels","SerialId","nvarchar","dbo","air_q_noise_level","serial_id","nvarchar","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view","dbo","AirQNoiseLevelSiteAvg","","","dbo","air_q_noise_level_site_avg","","","rename_relation","relation_not_lowercase"
"sqlserver","view_column","dbo","AirQNoiseLevelSiteAvg","LA10","float","dbo","air_q_noise_level_site_avg","la_10","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","AirQNoiseLevelSiteAvg","LA90","float","dbo","air_q_noise_level_site_avg","la_90","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","AirQNoiseLevelSiteAvg","LAeq","float","dbo","air_q_noise_level_site_avg","laeq","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","AirQNoiseLevelSiteAvg","LAmax","float","dbo","air_q_noise_level_site_avg","lamax","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","AirQNoiseLevelSiteAvg","LC10","float","dbo","air_q_noise_level_site_avg","lc_10","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","AirQNoiseLevelSiteAvg","LC90","float","dbo","air_q_noise_level_site_avg","lc_90","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","AirQNoiseLevelSiteAvg","LCeq","float","dbo","air_q_noise_level_site_avg","lceq","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","AirQNoiseLevelSiteAvg","LCmax","float","dbo","air_q_noise_level_site_avg","lcmax","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","AirQNoiseLevelSiteAvg","SampleTime","datetime2","dbo","air_q_noise_level_site_avg","sample_time","datetime2","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","AirQNoiseLevelSiteAvg","SerialId","nvarchar","dbo","air_q_noise_level_site_avg","serial_id","nvarchar","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table","dbo","AspNetRoleClaims","","","dbo","AspNetRoleClaims","","","no_change","relation_not_lowercase;identity_excluded"
"sqlserver","table_column","dbo","AspNetRoleClaims","ClaimType","nvarchar","dbo","AspNetRoleClaims","ClaimType","nvarchar","no_change","relation_not_lowercase;column_not_lowercase;identity_excluded"
"sqlserver","table_column","dbo","AspNetRoleClaims","ClaimValue","nvarchar","dbo","AspNetRoleClaims","ClaimValue","nvarchar","no_change","relation_not_lowercase;column_not_lowercase;identity_excluded"
"sqlserver","table_column","dbo","AspNetRoleClaims","Id","int","dbo","AspNetRoleClaims","Id","int","no_change","relation_not_lowercase;column_not_lowercase;single_column_pk;identity_excluded"
"sqlserver","table_column","dbo","AspNetRoleClaims","RoleId","nvarchar","dbo","AspNetRoleClaims","RoleId","nvarchar","no_change","relation_not_lowercase;column_not_lowercase;fk_to_asp_net_role;identity_excluded"
"sqlserver","table","dbo","AspNetRoles","","","dbo","AspNetRoles","","","no_change","relation_not_lowercase;identity_excluded"
"sqlserver","table_column","dbo","AspNetRoles","ConcurrencyStamp","nvarchar","dbo","AspNetRoles","ConcurrencyStamp","nvarchar","no_change","relation_not_lowercase;column_not_lowercase;identity_excluded"
"sqlserver","table_column","dbo","AspNetRoles","Id","nvarchar","dbo","AspNetRoles","Id","nvarchar","no_change","relation_not_lowercase;column_not_lowercase;single_column_pk;identity_excluded"
"sqlserver","table_column","dbo","AspNetRoles","Name","nvarchar","dbo","AspNetRoles","Name","nvarchar","no_change","relation_not_lowercase;column_not_lowercase;identity_excluded"
"sqlserver","table_column","dbo","AspNetRoles","NormalizedName","nvarchar","dbo","AspNetRoles","NormalizedName","nvarchar","no_change","relation_not_lowercase;column_not_lowercase;identity_excluded"
"sqlserver","table","dbo","AspNetUserClaims","","","dbo","AspNetUserClaims","","","no_change","relation_not_lowercase;identity_excluded"
"sqlserver","table_column","dbo","AspNetUserClaims","ClaimType","nvarchar","dbo","AspNetUserClaims","ClaimType","nvarchar","no_change","relation_not_lowercase;column_not_lowercase;identity_excluded"
"sqlserver","table_column","dbo","AspNetUserClaims","ClaimValue","nvarchar","dbo","AspNetUserClaims","ClaimValue","nvarchar","no_change","relation_not_lowercase;column_not_lowercase;identity_excluded"
"sqlserver","table_column","dbo","AspNetUserClaims","Id","int","dbo","AspNetUserClaims","Id","int","no_change","relation_not_lowercase;column_not_lowercase;single_column_pk;identity_excluded"
"sqlserver","table_column","dbo","AspNetUserClaims","UserId","nvarchar","dbo","AspNetUserClaims","UserId","nvarchar","no_change","relation_not_lowercase;column_not_lowercase;fk_to_asp_net_user;identity_excluded"
"sqlserver","table","dbo","AspNetUserLogins","","","dbo","AspNetUserLogins","","","no_change","relation_not_lowercase;identity_excluded"
"sqlserver","table_column","dbo","AspNetUserLogins","LoginProvider","nvarchar","dbo","AspNetUserLogins","LoginProvider","nvarchar","no_change","relation_not_lowercase;column_not_lowercase;identity_excluded"
"sqlserver","table_column","dbo","AspNetUserLogins","ProviderDisplayName","nvarchar","dbo","AspNetUserLogins","ProviderDisplayName","nvarchar","no_change","relation_not_lowercase;column_not_lowercase;identity_excluded"
"sqlserver","table_column","dbo","AspNetUserLogins","ProviderKey","nvarchar","dbo","AspNetUserLogins","ProviderKey","nvarchar","no_change","relation_not_lowercase;column_not_lowercase;identity_excluded"
"sqlserver","table_column","dbo","AspNetUserLogins","UserId","nvarchar","dbo","AspNetUserLogins","UserId","nvarchar","no_change","relation_not_lowercase;column_not_lowercase;fk_to_asp_net_user;identity_excluded"
"sqlserver","table","dbo","AspNetUserRoles","","","dbo","AspNetUserRoles","","","no_change","relation_not_lowercase;identity_excluded"
"sqlserver","table_column","dbo","AspNetUserRoles","RoleId","nvarchar","dbo","AspNetUserRoles","RoleId","nvarchar","no_change","relation_not_lowercase;column_not_lowercase;fk_to_asp_net_role;identity_excluded"
"sqlserver","table_column","dbo","AspNetUserRoles","UserId","nvarchar","dbo","AspNetUserRoles","UserId","nvarchar","no_change","relation_not_lowercase;column_not_lowercase;fk_to_asp_net_user;identity_excluded"
